"VAT number","Número IVA","module","Geissweb_Euvat"
"VAT Number","Número IVA","module","Geissweb_Euvat"
"VAT Trader Name","Nome do comerciante de IVA","module","Geissweb_Euvat"
"VAT Trader Address","Endereço do VAT Trader","module","Geissweb_Euvat"
"VAT number is","O número de IVA é","module","Geissweb_Euvat"
"valid","válido","module","Geissweb_Euvat"
"invalid","iválido","module","Geissweb_Euvat"
"VAT request success","Sucesso dos pedidos de IVA","module","Geissweb_Euvat"
"Yes","sim","module","Geissweb_Euvat"
"No","não","module","Geissweb_Euvat"
"VAT request identifier","Identificador do pedido de IVA","module","Geissweb_Euvat"
"New customer tax classes","Novas classes de impostos dos clientes","module","Geissweb_Euvat"
"Invalid requester information. Please check your merchant VAT number.","Informação do requerente inválido. Por favor, verifique o seu número de IVA do comerciante.","module","Geissweb_Euvat"
"Currently it is not possible to validate VAT numbers from this country.","Actualmente não é possível validar números de IVA provenientes deste país.","module","Geissweb_Euvat"
"The connection to the validation interface timed out. Please try again.","A ligação à interface de validação foi temporizada. Por favor, tente novamente.","module","Geissweb_Euvat"
"The VAT number is invalid.","O número de IVA é inválido.","module","Geissweb_Euvat"
"The VAT number validation service is busy.","O serviço de validação do número de IVA está ocupado.","module","Geissweb_Euvat"
"The VAT number is valid.","O número de IVA é válido.","module","Geissweb_Euvat"
"Click here to try again.","Clique aqui para tentar novamente.","module","Geissweb_Euvat"
"The format of the VAT number is invalid for this country.","O formato do número de IVA é inválido para este país.","module","Geissweb_Euvat"
"This does not seem to be a EU VAT Number.","Este não parece ser um número de IVA da UE.","module","Geissweb_Euvat"
"Please provide your VAT number including the country prefix.","Por favor forneça o seu número de IVA incluindo o prefixo do país.","module","Geissweb_Euvat"
"Error during VAT number validation request.","Erro durante o pedido de validação do número de IVA.","module","Geissweb_Euvat"
"VAT number validation result","Resultado da validação do número de IVA","module","Geissweb_Euvat"
"The country prefix of your VAT Number does not match your address country. Shall we automatically set the country?","O prefixo do país do seu número de IVA não corresponde ao seu país de residência. Devemos definir automaticamente o país?","module","Geissweb_Euvat"
"Please type a valid VAT number in this field. Example: CC123456789","Por favor escreva um número de IVA válido neste campo. Exemplo: CC123456789","module","Geissweb_Euvat"
"Please type a valid VAT number in this field, or leave it empty.","Por favor escreva um número de IVA válido neste campo, ou deixe-o vazio.","module","Geissweb_Euvat"
"Please type a valid VAT number in this field, or leave the company field empty.","Por favor escreva um número de IVA válido neste campo, ou deixe o campo da empresa vazio.","module","Geissweb_Euvat"
"Please enter a VAT number to validate.","Por favor, introduza um número de IVA para validar.","module","Geissweb_Euvat"
"Registered Company Name: %s","Nome da empresa registada: %s","module","Geissweb_Euvat"
"Registered Address: %s","Endereço registado: %s","module","Geissweb_Euvat"
"VAT Number validation interface unavailable.","Interface de validação do número de IVA indisponível.","module","Geissweb_Euvat"
"A valid VAT number is required for checkout. Please edit your address to include your VAT number.","É necessário um número de IVA válido para o checkout. Por favor, edite o seu endereço para incluir o seu número de IVA.","module","Geissweb_Euvat"

"Customer Group Change","Mudança de grupo de clientes","module","Geissweb_Euvat"
"Domestic country","País doméstico","module","Geissweb_Euvat"
"Merchant VAT Number","Número de IVA do comerciante","module","Geissweb_Euvat"
"Apply store configuration for VAT","Aplicar configuração de loja para IVA","module","Geissweb_Euvat"
"Create tax classes, rules and rates","Criar classes de imposto, regras e taxas","module","Geissweb_Euvat"
"This will remove all existing tax rates, rules and classes and will install new rates, rules and classes. You need to provide the information, which classes should be mapped to the new ones. For example if you had a customer tax class 'End customer' you can select 'Consumers with VAT' as the new one.","Isto irá remover todas as taxas, regras e classes de imposto existentes e irá instalar novas taxas, regras e classes. É necessário fornecer a informação, que classes devem ser mapeadas para as novas classes. Por exemplo, se tiver uma classe de imposto de cliente ""Cliente final"" pode seleccionar ""Consumidores com IVA"" como a nova classe.","module","Geissweb_Euvat"
"Create rule for products with reduced VAT","Criar regra para produtos com IVA reduzido","module","Geissweb_Euvat"
"If you require a reduced VAT rate for products, specify the rate below.","Se necessitar de uma taxa reduzida de IVA para produtos, especificar a taxa abaixo.","module","Geissweb_Euvat"
"Reduced VAT rate","Taxa reduzida de IVA","module","Geissweb_Euvat"
"Create rule for digital products and services","Criar regra para produtos e serviços digitais","module","Geissweb_Euvat"
"A rule with the specific rates of each EU country will be created.","Será criada uma regra com as taxas específicas de cada país da UE.","module","Geissweb_Euvat"
"New product tax classes","Novas classes de impostos sobre produtos","module","Geissweb_Euvat"
"New customer tax classes","Novas classes de impostos dos clientes","module","Geissweb_Euvat"
"Select the new customer tax class as replacement for: ","Seleccionar a nova classe de imposto do cliente como substituto: ","module","Geissweb_Euvat"
"Select the new product tax class as replacement for: ","Seleccionar a classe de imposto do novo produto como substituto: ","module","Geissweb_Euvat"
"Run Setup","Configurar a execução","module","Geissweb_Euvat"

"Documentation","Documentação","module","Geissweb_Euvat"
"Knowledge Base","Base de Conhecimento","module","Geissweb_Euvat"
"Support","Apoio","module","Geissweb_Euvat"

"Module Information","Informação do módulo","module","Geissweb_Euvat"
"License Key","Chave de licença","module","Geissweb_Euvat"
"Installation Type","Tipo de instalação","module","Geissweb_Euvat"
"Debug Mode","Modo de depuração","module","Geissweb_Euvat"
"Interface Settings","Definições de interface","module","Geissweb_Euvat"
"Enable AJAX VAT validation","Activar a validação do IVA AJAX","module","Geissweb_Euvat"
"Validation Interface","Interface de Validação","module","Geissweb_Euvat"
"IPv6 Compatibility","Compatibilidade IPv6","module","Geissweb_Euvat"
"IPv4 Address of your server","Endereço IPv4 do seu servidor","module","Geissweb_Euvat"
"VAT Settings","Definições de IVA","module","Geissweb_Euvat"
"Use dynamic customer tax class","Usar classe de imposto dinâmica do cliente","module","Geissweb_Euvat"
"Tax class consumer incl. VAT","Classe de imposto consumidor incl. IVA","module","Geissweb_Euvat"
