"VAT number","Numero di partita IVA","module","Geissweb_Euvat"
"VAT Number","Numero di partita IVA","module","Geissweb_Euvat"
"VAT Trader Name","IVA Nome del commerciante","module","Geissweb_Euvat"
"VAT Trader Address","Indirizzo del commerciante IVA","module","Geissweb_Euvat"
"VAT number is","Il numero di partita IVA è","module","Geissweb_Euvat"
"valid","valido","module","Geissweb_Euvat"
"invalid","non valido","module","Geissweb_Euvat"
"VAT request success","Successo della richiesta di IVA","module","Geissweb_Euvat"
"Yes","Sì","module","Geissweb_Euvat"
"No","No","module","Geissweb_Euvat"
"VAT request identifier","Identificatore della richiesta di IVA","module","Geissweb_Euvat"
"New customer tax classes","Nuove classi di tasse per i clienti","module","Geissweb_Euvat"
"Invalid requester information. Please check your merchant VAT number.","Informazioni del richiedente non valide. Si prega di controllare il numero di partita IVA del commerciante.","module","Geissweb_Euvat"
"Currently it is not possible to validate VAT numbers from this country.","Attualmente non è possibile convalidare i numeri di partita IVA di questo paese.","module","Geissweb_Euvat"
"The connection to the validation interface timed out. Please try again.","La connessione all'interfaccia di convalida è scaduta. Si prega di riprovare.","module","Geissweb_Euvat"
"The VAT number is invalid.","Il numero di partita IVA non è valido.","module","Geissweb_Euvat"
"The VAT number validation service is busy.","Il servizio di convalida della partita IVA è occupato.","module","Geissweb_Euvat"
"The VAT number is valid.","Il numero di partita IVA è valido.","module","Geissweb_Euvat"
"Click here to try again.","Clicca qui per riprovare.","module","Geissweb_Euvat"
"The format of the VAT number is invalid for this country.","Il formato del numero IVA non è valido per questo paese.","module","Geissweb_Euvat"
"This does not seem to be a EU VAT Number.","Questo non sembra essere un numero di partita IVA dell'UE.","module","Geissweb_Euvat"
"Please provide your VAT number including the country prefix.","Si prega di fornire il numero di partita IVA compreso il prefisso del paese.","module","Geissweb_Euvat"
"Error during VAT number validation request.","Errore durante la richiesta di convalida del numero di partita IVA.","module","Geissweb_Euvat"
"VAT number validation result","Risultato della convalida del numero di partita IVA","module","Geissweb_Euvat"
"The country prefix of your VAT Number does not match your address country. Shall we automatically set the country?","Il prefisso del paese del suo numero di partita IVA non corrisponde al paese del suo indirizzo. Dobbiamo impostare automaticamente il paese?","module","Geissweb_Euvat"
"Please type a valid VAT number in this field. Example: CC123456789","Si prega di inserire in questo campo un numero di partita IVA valido. Esempio: CC123456789","module","Geissweb_Euvat"
"Please type a valid VAT number in this field, or leave it empty.","Per favore, digiti un numero di partita IVA valido in questo campo o lo lasci vuoto.","module","Geissweb_Euvat"
"Please type a valid VAT number in this field, or leave the company field empty.","Per favore, digiti un numero di partita IVA valido in questo campo o lasci il campo azienda vuoto.","module","Geissweb_Euvat"
"Please enter a VAT number to validate.","Inserisci un numero di partita IVA per convalidare.","module","Geissweb_Euvat"
"Registered Company Name: %s","Nome dell'azienda registrata: %s","module","Geissweb_Euvat"
"Registered Address: %s","Indirizzo registrato: %s","module","Geissweb_Euvat"
"VAT Number validation interface unavailable.","Interfaccia di convalida del numero di partita IVA non disponibile.","module","Geissweb_Euvat"
